Volume,Doors,Style,PredictedStyle
131,4,SUV,Pickup
134,5,SUV,SUV
115,4,SUV,SUV
97,4,SUV,Sedan
105,4,SUV,SUV
104,3,Jeep,Jeep
152,5,SUV,Van
114,5,SUV,SUV
140,4,SUV,SUV
106,4,SUV,SUV
190,5,Van,Van
110,4,SUV,Sedan
111,4,SUV,Sedan
96,4,Sedan,SUV
100,4,Sedan,Sedan
135,4,SUV,Pickup
167,5,SUV,SUV
106,5,SUV,SUV
136,5,SUV,SUV
101,4,Sedan,Sedan
102,4,Sedan,Sedan
82,2,Sedan,Sedan
136,4,SUV,Jeep
118,4,Sedan,Sedan
300,5,Van,Van
110,5,Sedan,SUV
122,4,Pickup,Pickup
134,4,SUV,Pickup
137,5,SUV,SUV
115,4,Sedan,SUV
,,Accuracy,0.6333
